Freq(Mhz);Pol;X1;Y1;X2;Y2
38000;H;19.794710769;20.43772286;19.931332441;20.4373453
38000;H;19.794710769;20.43772286;20.201867925;20.58198114
38000;V;19.794710769;20.43772286;19.985422802;20.5914497
38000;H;19.794710769;20.43772286;19.759886219;20.4793078299999
38000;V;19.794710769;20.43772286;19.561221156;20.31015298
38000;V;19.794710769;20.43772286;20.0536731970001;20.24246953
38000;V;19.794710769;20.43772286;19.748316665;20.61998328
38000;V;19.794710769;20.43772286;19.978708687;20.1935187
38000;V;19.794710769;20.43772286;20.718784441;20.38282803
23000;V;17.656341563;20.4694852999999;18.597551022;20.51228067
38000;V;17.656341563;20.4694852999999;16.7178112530001;20.55559768
38000;V;17.656341563;20.4694852999999;16.823944398;21.24453567
38000;V;17.656341563;20.4694852999999;17.7607682770001;20.8149839699999
38000;H;17.656341563;20.4694852999999;17.879200554;20.46995496
38000;V;17.656341563;20.4694852999999;17.86207917;20.76952175
38000;V;18.822674753;20.75385483;18.702111391;21.45248653
38000;V;18.822674753;20.75385483;18.547405026;21.30538398
38000;V;18.822674753;20.75385483;18.738741061;21.18797659
38000;V;18.822674753;20.75385483;18.781270685;20.64697314
38000;V;18.822674753;20.75385483;19.459458419;20.34659857
38000;V;18.822674753;20.75385483;19.386482477;21.08262815
38000;V;18.822674753;20.75385483;19.128923659;20.8982013599999
23000;H;18.822674753;20.75385483;19.55903041;20.1657553
23000;V;18.822674753;20.75385483;19.300732785;21.1988943
38000;H;18.822674753;20.75385483;19.379728453;20.6497689199999
38000;V;18.822674753;20.75385483;18.663285913;20.9183150600001
38000;V;18.822674753;20.75385483;17.213938699;20.38204023
38000;V;18.822674753;20.75385483;17.799288227;21.0289162
23000;H;18.822674753;20.75385483;19.1784903609999;20.5757848500001
23000;H;18.822674753;20.75385483;18.902403793;21.69903757
38000;V;18.822674753;20.75385483;17.812377787;22.0584556
38000;V;18.822674753;20.75385483;18.52274491;21.07675551
38000;V;18.822674753;20.75385483;18.840202942;21.3885682400001
