date;rx_power
2014-02-13 15:10:33;-50.7
2014-02-13 15:10:48;-50.4
2014-02-13 15:16:15;-50.4
2014-02-13 15:16:30;-50.7
2014-02-13 15:16:45;-50.4
2014-02-13 15:17:01;-50.7
2014-02-13 15:17:16;-50.7
2014-02-13 15:17:32;-50.7
2014-02-13 15:17:47;-50.7
2014-02-13 15:18:03;-50.4
2014-02-13 15:18:18;-50.7
2014-02-13 15:18:33;-50.7
2014-02-13 15:18:49;-50.7
2014-02-13 15:19:04;-50.4
2014-02-13 15:19:19;-50.7
2014-02-13 15:19:35;-50.7
2014-02-13 15:19:51;-50.4
2014-02-13 15:20:07;-50.4
2014-02-13 15:20:07;-50.4
2014-02-13 15:20:23;-50.4
2014-02-13 15:20:23;-50.4
2014-02-13 15:20:38;-50.4
2014-02-13 15:20:38;-50.4
2014-02-13 15:20:54;-51.1
2014-02-13 15:20:54;-51.1
2014-02-13 15:21:09;-50.7
2014-02-13 15:21:09;-50.7
2014-02-13 15:21:24;-50.7
2014-02-13 15:21:24;-50.7
2014-02-13 15:21:40;-50.7
2014-02-13 15:21:55;-50.4
2014-02-13 15:23:12;-50.7
2014-02-13 15:23:28;-50.7
2014-02-13 15:23:43;-50.7
2014-02-13 15:23:58;-50.4
2014-02-13 15:24:14;-50.4
2014-02-13 15:24:29;-50.7
2014-02-13 15:24:44;-50.4
2014-02-13 15:25:00;-50.4
2014-02-13 15:25:15;-50.4
2014-02-13 15:25:31;-50.4
2014-02-13 15:25:47;-50.7
2014-02-13 15:26:03;-50.7
2014-02-13 15:26:19;-50.7
2014-02-13 15:26:34;-50.7
2014-02-13 15:26:50;-50.7
2014-02-13 15:27:06;-50.4
2014-02-13 15:27:22;-50.7
2014-02-13 15:27:37;-50.7
2014-02-13 15:27:52;-50.7
2014-02-13 15:28:08;-50.4
2014-02-13 15:28:23;-50.4
2014-02-13 15:28:39;-50.7
2014-02-13 15:28:54;-50.7
2014-02-13 15:29:10;-50.7
2014-02-13 15:29:25;-50.4
2014-02-13 15:29:40;-50.4
2014-02-13 15:29:56;-50.4
2014-02-13 15:30:12;-50.4
2014-02-13 15:30:28;-50.4
2014-02-13 15:30:44;-50.7
2014-02-13 15:30:59;-50.7
2014-02-13 15:31:15;-50.4
2014-02-13 15:31:30;-50.4
2014-02-13 15:31:46;-50.4
2014-02-13 15:32:01;-50.7
2014-02-13 15:32:17;-50.7
2014-02-13 15:32:33;-50.7
2014-02-13 15:32:48;-50.4
2014-02-13 15:33:04;-50.7
2014-02-13 15:33:19;-50.7
2014-02-13 15:33:35;-50.7
2014-02-13 15:33:51;-50.7
2014-02-13 15:34:07;-50.7
2014-02-13 15:34:22;-50.7
2014-02-13 15:34:38;-50.7
2014-02-13 15:34:53;-50.7
2014-02-13 15:35:08;-50.7
2014-02-13 15:35:24;-50.7
2014-02-13 15:35:39;-50.7
2014-02-13 15:35:55;-50.7
2014-02-13 15:36:10;-50.4
2014-02-13 15:36:25;-50.4
2014-02-13 15:36:41;-50.4
2014-02-13 15:36:56;-50.4
2014-02-13 15:37:12;-50.4
2014-02-13 15:37:27;-50.4
